Stage Name, Latitude, Longitude, Elevation
1A_NashvilleToPaducah,36.15707300,-86.78093700,145.70
1A_NashvilleToPaducah,36.15716200,-86.78099300,146.00
1A_NashvilleToPaducah,36.15728700,-86.78107300,147.00
1A_NashvilleToPaducah,36.15734400,-86.78110900,147.50
1A_NashvilleToPaducah,36.15743200,-86.78116800,148.20
1A_NashvilleToPaducah,36.15752900,-86.78122700,148.70
1A_NashvilleToPaducah,36.15759200,-86.78126600,149.10
1A_NashvilleToPaducah,36.15776700,-86.78137700,150.00
1A_NashvilleToPaducah,36.15781800,-86.78140900,150.20
1A_NashvilleToPaducah,36.15786900,-86.78144100,150.40
1A_NashvilleToPaducah,36.15792100,-86.78147500,150.60
1A_NashvilleToPaducah,36.15797600,-86.78150900,150.70
1A_NashvilleToPaducah,36.15820500,-86.78165400,151.40
1A_NashvilleToPaducah,36.15836800,-86.78175700,151.70
1A_NashvilleToPaducah,36.15873700,-86.78199100,151.90
1A_NashvilleToPaducah,36.15876600,-86.78200900,151.80
1A_NashvilleToPaducah,36.15890300,-86.78209600,151.80
1A_NashvilleToPaducah,36.15902400,-86.78217100,151.70
1A_NashvilleToPaducah,36.15905100,-86.78218900,151.70
1A_NashvilleToPaducah,36.15947100,-86.78246700,151.60
1A_NashvilleToPaducah,36.15965400,-86.78258700,151.90
1A_NashvilleToPaducah,36.15982400,-86.78269300,152.20
1A_NashvilleToPaducah,36.15987700,-86.78272700,152.30
1A_NashvilleToPaducah,36.15990100,-86.78274100,152.30
1A_NashvilleToPaducah,36.16008500,-86.78285600,152.50
1A_NashvilleToPaducah,36.16012000,-86.78287900,152.50
1A_NashvilleToPaducah,36.16024300,-86.78296300,152.70
1A_NashvilleToPaducah,36.16027400,-86.78298400,152.70
1A_NashvilleToPaducah,36.16033600,-86.78302500,152.70
1A_NashvilleToPaducah,36.16036600,-86.78304500,152.70
1A_NashvilleToPaducah,36.16048800,-86.78312800,152.80
1A_NashvilleToPaducah,36.16077600,-86.78332300,153.00
1A_NashvilleToPaducah,36.16125800,-86.78364900,152.90
1A_NashvilleToPaducah,36.16140200,-86.78374600,153.00
1A_NashvilleToPaducah,36.16152800,-86.78383200,153.30
1A_NashvilleToPaducah,36.16158200,-86.78387000,153.40
1A_NashvilleToPaducah,36.16164100,-86.78389000,153.60
1A_NashvilleToPaducah,36.16167900,-86.78392200,153.70
1A_NashvilleToPaducah,36.16174400,-86.78399700,153.90
1A_NashvilleToPaducah,36.16180700,-86.78407800,154.10
1A_NashvilleToPaducah,36.16199100,-86.78434200,155.70
1A_NashvilleToPaducah,36.16228200,-86.78489700,155.00
1A_NashvilleToPaducah,36.16232900,-86.78499300,154.60
1A_NashvilleToPaducah,36.16244400,-86.78518600,153.90
1A_NashvilleToPaducah,36.16254900,-86.78536300,152.80
1A_NashvilleToPaducah,36.16256700,-86.78538500,152.60
1A_NashvilleToPaducah,36.16275000,-86.78556100,150.60
1A_NashvilleToPaducah,36.16385400,-86.78631000,142.80
1A_NashvilleToPaducah,36.16407200,-86.78645900,142.30
1A_NashvilleToPaducah,36.16430500,-86.78659800,138.60
1A_NashvilleToPaducah,36.16439600,-86.78665100,136.80
1A_NashvilleToPaducah,36.16449000,-86.78670400,136.30
1A_NashvilleToPaducah,36.16459000,-86.78675500,136.40
1A_NashvilleToPaducah,36.16468100,-86.78679900,136.10
1A_NashvilleToPaducah,36.16477500,-86.78684200,135.60
1A_NashvilleToPaducah,36.16487600,-86.78688700,134.80
1A_NashvilleToPaducah,36.16497300,-86.78692800,134.60
1A_NashvilleToPaducah,36.16507000,-86.78696600,134.20
1A_NashvilleToPaducah,36.16516700,-86.78700200,133.80
1A_NashvilleToPaducah,36.16526600,-86.78703600,133.80
1A_NashvilleToPaducah,36.16536600,-86.78706700,133.90
1A_NashvilleToPaducah,36.16546800,-86.78709700,133.60
1A_NashvilleToPaducah,36.16556700,-86.78712400,133.40
1A_NashvilleToPaducah,36.16566800,-86.78714900,133.20
1A_NashvilleToPaducah,36.16577200,-86.78717100,133.10
1A_NashvilleToPaducah,36.16587000,-86.78719100,132.80
1A_NashvilleToPaducah,36.16596600,-86.78720800,132.70
1A_NashvilleToPaducah,36.16607400,-86.78722300,132.50
1A_NashvilleToPaducah,36.16617600,-86.78723300,132.40
1A_NashvilleToPaducah,36.16628000,-86.78723800,132.20
1A_NashvilleToPaducah,36.16638200,-86.78723600,131.90
1A_NashvilleToPaducah,36.16646300,-86.78722000,131.50
1A_NashvilleToPaducah,36.16657300,-86.78719200,131.10
1A_NashvilleToPaducah,36.16701700,-86.78710200,130.20
1A_NashvilleToPaducah,36.16717400,-86.78703400,130.10
1A_NashvilleToPaducah,36.16725000,-86.78697700,130.10
1A_NashvilleToPaducah,36.16743600,-86.78683800,130.20
1A_NashvilleToPaducah,36.16767600,-86.78660800,130.30
1A_NashvilleToPaducah,36.16778000,-86.78646500,130.30
1A_NashvilleToPaducah,36.16786500,-86.78634900,130.30
1A_NashvilleToPaducah,36.16793300,-86.78624200,130.50
1A_NashvilleToPaducah,36.16801100,-86.78612200,130.50
1A_NashvilleToPaducah,36.16811900,-86.78593400,130.60
1A_NashvilleToPaducah,36.16821900,-86.78574800,130.60
1A_NashvilleToPaducah,36.16829800,-86.78558100,130.50
1A_NashvilleToPaducah,36.16837400,-86.78539400,130.60
1A_NashvilleToPaducah,36.16841000,-86.78529300,130.60
1A_NashvilleToPaducah,36.16845800,-86.78515800,130.60
1A_NashvilleToPaducah,36.16850500,-86.78501900,130.70
1A_NashvilleToPaducah,36.16861600,-86.78459300,130.80
1A_NashvilleToPaducah,36.16868800,-86.78428100,131.00
1A_NashvilleToPaducah,36.16872500,-86.78412100,131.20
1A_NashvilleToPaducah,36.16873800,-86.78397900,132.00
1A_NashvilleToPaducah,36.16873800,-86.78376200,133.20
1A_NashvilleToPaducah,36.16873200,-86.78364300,133.50
1A_NashvilleToPaducah,36.16872700,-86.78352100,133.80
1A_NashvilleToPaducah,36.16868300,-86.78324900,134.60
1A_NashvilleToPaducah,36.16859700,-86.78290400,136.40
1A_NashvilleToPaducah,36.16851700,-86.78267600,137.00
1A_NashvilleToPaducah,36.16848200,-86.78257500,137.20
1A_NashvilleToPaducah,36.16848000,-86.78256900,137.20
1A_NashvilleToPaducah,36.16835300,-86.78228800,138.40
1A_NashvilleToPaducah,36.16834100,-86.78227000,138.50
1A_NashvilleToPaducah,36.16825400,-86.78214600,139.10
1A_NashvilleToPaducah,36.16817700,-86.78203700,139.60
1A_NashvilleToPaducah,36.16809900,-86.78192400,139.80
1A_NashvilleToPaducah,36.16788600,-86.78168900,140.50
1A_NashvilleToPaducah,36.16770300,-86.78152900,141.00
1A_NashvilleToPaducah,36.16748400,-86.78131700,141.40
1A_NashvilleToPaducah,36.16738200,-86.78120900,141.60
1A_NashvilleToPaducah,36.16736100,-86.78118500,141.70
1A_NashvilleToPaducah,36.16729100,-86.78109300,141.90
1A_NashvilleToPaducah,36.16724600,-86.78102800,142.00
1A_NashvilleToPaducah,36.16720200,-86.78094900,142.20
1A_NashvilleToPaducah,36.16713100,-86.78080800,142.30
1A_NashvilleToPaducah,36.16707500,-86.78067100,142.40
1A_NashvilleToPaducah,36.16706200,-86.78063900,142.50
1A_NashvilleToPaducah,36.16701400,-86.78048300,142.60
1A_NashvilleToPaducah,36.16700700,-86.78043800,142.60
1A_NashvilleToPaducah,36.16698800,-86.78031100,142.80
1A_NashvilleToPaducah,36.16697400,-86.78017100,143.00
1A_NashvilleToPaducah,36.16698200,-86.78002300,143.10
1A_NashvilleToPaducah,36.16698800,-86.77997600,143.10
1A_NashvilleToPaducah,36.16701400,-86.77985100,143.10
1A_NashvilleToPaducah,36.16707300,-86.77967700,143.30
1A_NashvilleToPaducah,36.16712500,-86.77956300,143.90
1A_NashvilleToPaducah,36.16717600,-86.77944100,144.80
1A_NashvilleToPaducah,36.16748200,-86.77874700,147.40
1A_NashvilleToPaducah,36.16754400,-86.77860500,147.50
1A_NashvilleToPaducah,36.16759900,-86.77847800,147.50
1A_NashvilleToPaducah,36.16777300,-86.77808000,147.50
1A_NashvilleToPaducah,36.16785600,-86.77790200,147.30
1A_NashvilleToPaducah,36.16797700,-86.77766500,146.70
1A_NashvilleToPaducah,36.16802600,-86.77763900,146.40
1A_NashvilleToPaducah,36.16808000,-86.77752500,145.80
1A_NashvilleToPaducah,36.16878900,-86.77590800,117.20
1A_NashvilleToPaducah,36.16878900,-86.77590800,117.20
1A_NashvilleToPaducah,36.16908900,-86.77522200,127.20
1A_NashvilleToPaducah,36.17008300,-86.77292900,128.70
1A_NashvilleToPaducah,36.17045700,-86.77200200,128.40
1A_NashvilleToPaducah,36.17074100,-86.77108800,128.90
1A_NashvilleToPaducah,36.17086100,-86.77071900,129.10
1A_NashvilleToPaducah,36.17095900,-86.77042700,129.10
1A_NashvilleToPaducah,36.17125200,-86.76957000,129.40
1A_NashvilleToPaducah,36.17125200,-86.76944500,129.50
1A_NashvilleToPaducah,36.17130300,-86.76928800,129.70
1A_NashvilleToPaducah,36.17134600,-86.76913900,129.90
1A_NashvilleToPaducah,36.17134700,-86.76913700,129.90
1A_NashvilleToPaducah,36.17135400,-86.76910000,129.90
1A_NashvilleToPaducah,36.17137400,-86.76900200,130.00
1A_NashvilleToPaducah,36.17159300,-86.76843600,133.60
1A_NashvilleToPaducah,36.17173800,-86.76806000,136.90
1A_NashvilleToPaducah,36.17176700,-86.76798600,136.90
1A_NashvilleToPaducah,36.17184900,-86.76777500,135.90
1A_NashvilleToPaducah,36.17194600,-86.76752400,135.00
1A_NashvilleToPaducah,36.17205900,-86.76726300,134.20
1A_NashvilleToPaducah,36.17236300,-86.76647000,136.10
1A_NashvilleToPaducah,36.17250400,-86.76615700,137.10
1A_NashvilleToPaducah,36.17259500,-86.76600700,136.70
1A_NashvilleToPaducah,36.17272100,-86.76566200,134.40
1A_NashvilleToPaducah,36.17284600,-86.76533700,137.80
1A_NashvilleToPaducah,36.17298900,-86.76535800,137.90
1A_NashvilleToPaducah,36.17356800,-86.76567200,137.60
1A_NashvilleToPaducah,36.17362800,-86.76570500,137.50
1A_NashvilleToPaducah,36.17377000,-86.76575000,137.20
1A_NashvilleToPaducah,36.17398500,-86.76577500,135.80
1A_NashvilleToPaducah,36.17456800,-86.76573400,132.40
1A_NashvilleToPaducah,36.17499300,-86.76571700,128.40
1A_NashvilleToPaducah,36.17520800,-86.76575500,128.50
1A_NashvilleToPaducah,36.17533600,-86.76578600,128.80
1A_NashvilleToPaducah,36.17546400,-86.76583200,129.30
1A_NashvilleToPaducah,36.17557900,-86.76589000,129.70
1A_NashvilleToPaducah,36.17570000,-86.76597200,130.20
1A_NashvilleToPaducah,36.17583500,-86.76609000,130.70
1A_NashvilleToPaducah,36.17596500,-86.76624500,131.00
1A_NashvilleToPaducah,36.17605100,-86.76636400,131.10
1A_NashvilleToPaducah,36.17610800,-86.76644600,131.00
1A_NashvilleToPaducah,36.17615400,-86.76652800,130.90
1A_NashvilleToPaducah,36.17621800,-86.76668500,130.80
1A_NashvilleToPaducah,36.17628000,-86.76689200,131.20
1A_NashvilleToPaducah,36.17632300,-86.76711400,134.40
1A_NashvilleToPaducah,36.17640000,-86.76772900,137.80
1A_NashvilleToPaducah,36.17657600,-86.76972900,134.30
1A_NashvilleToPaducah,36.17660900,-86.77015500,133.30
1A_NashvilleToPaducah,36.17681700,-86.77069000,132.10
1A_NashvilleToPaducah,36.17693900,-86.77084500,132.00
1A_NashvilleToPaducah,36.17705800,-86.77100800,131.60
1A_NashvilleToPaducah,36.17741800,-86.77125600,130.90
1A_NashvilleToPaducah,36.17788900,-86.77158300,130.80
1A_NashvilleToPaducah,36.17829700,-86.77209200,131.00
1A_NashvilleToPaducah,36.17837900,-86.77221900,131.00
1A_NashvilleToPaducah,36.17865700,-86.77264600,130.90
1A_NashvilleToPaducah,36.17877200,-86.77278500,130.90
1A_NashvilleToPaducah,36.17899700,-86.77301100,130.90
1A_NashvilleToPaducah,36.17930200,-86.77321300,130.90
1A_NashvilleToPaducah,36.17965100,-86.77335000,130.80
1A_NashvilleToPaducah,36.18091100,-86.77357200,130.40
1A_NashvilleToPaducah,36.18125800,-86.77362700,129.80
1A_NashvilleToPaducah,36.18156200,-86.77367400,129.30
1A_NashvilleToPaducah,36.18242400,-86.77380500,128.80
1A_NashvilleToPaducah,36.18275300,-86.77383300,128.90
1A_NashvilleToPaducah,36.18314100,-86.77386600,129.00
1A_NashvilleToPaducah,36.18319000,-86.77387800,129.00
1A_NashvilleToPaducah,36.18324400,-86.77387100,129.10
1A_NashvilleToPaducah,36.18336800,-86.77385400,129.20
1A_NashvilleToPaducah,36.18357500,-86.77383300,129.40
1A_NashvilleToPaducah,36.18370900,-86.77381800,129.40
1A_NashvilleToPaducah,36.18393600,-86.77379200,129.20
1A_NashvilleToPaducah,36.18397800,-86.77378700,129.20
1A_NashvilleToPaducah,36.18441900,-86.77372900,129.10
1A_NashvilleToPaducah,36.18459800,-86.77370500,129.30
1A_NashvilleToPaducah,36.18485300,-86.77367900,129.40
1A_NashvilleToPaducah,36.18491500,-86.77367100,129.50
1A_NashvilleToPaducah,36.18507900,-86.77365100,129.50
1A_NashvilleToPaducah,36.18558700,-86.77358900,129.00
1A_NashvilleToPaducah,36.18617700,-86.77351600,127.90
1A_NashvilleToPaducah,36.18661300,-86.77346200,127.80
1A_NashvilleToPaducah,36.18684200,-86.77343400,127.80
1A_NashvilleToPaducah,36.18697900,-86.77341700,127.80
1A_NashvilleToPaducah,36.18744900,-86.77335900,127.80
1A_NashvilleToPaducah,36.18880400,-86.77315200,129.90
1A_NashvilleToPaducah,36.18954400,-86.77302900,131.30
1A_NashvilleToPaducah,36.18973400,-86.77299700,131.70
1A_NashvilleToPaducah,36.19009300,-86.77293700,132.40
1A_NashvilleToPaducah,36.19011500,-86.77293400,132.50
1A_NashvilleToPaducah,36.19129000,-86.77278900,133.50
1A_NashvilleToPaducah,36.19176400,-86.77273100,134.30
1A_NashvilleToPaducah,36.19193400,-86.77271100,134.70
1A_NashvilleToPaducah,36.19305000,-86.77260600,143.10
1A_NashvilleToPaducah,36.19430200,-86.77236600,147.20
1A_NashvilleToPaducah,36.19441000,-86.77234500,147.20
1A_NashvilleToPaducah,36.19450100,-86.77232600,147.10
1A_NashvilleToPaducah,36.19479500,-86.77226500,147.10
1A_NashvilleToPaducah,36.19494900,-86.77223400,147.40
1A_NashvilleToPaducah,36.19523100,-86.77217500,148.70
1A_NashvilleToPaducah,36.19530700,-86.77215900,149.30
1A_NashvilleToPaducah,36.19559700,-86.77210400,150.00
1A_NashvilleToPaducah,36.19605700,-86.77200500,150.30
1A_NashvilleToPaducah,36.19607900,-86.77199600,150.20
1A_NashvilleToPaducah,36.19645200,-86.77184900,150.30
1A_NashvilleToPaducah,36.19659200,-86.77177400,150.30
1A_NashvilleToPaducah,36.19684700,-86.77163700,150.70
1A_NashvilleToPaducah,36.19692200,-86.77159700,150.80
1A_NashvilleToPaducah,36.19695500,-86.77157900,150.90
1A_NashvilleToPaducah,36.19724400,-86.77142500,151.10
1A_NashvilleToPaducah,36.19762100,-86.77122100,150.60
1A_NashvilleToPaducah,36.19783100,-86.77110800,150.20
1A_NashvilleToPaducah,36.19834800,-86.77082800,149.60
1A_NashvilleToPaducah,36.19849500,-86.77074900,149.50
1A_NashvilleToPaducah,36.19901200,-86.77047600,150.00
1A_NashvilleToPaducah,36.19926000,-86.77034500,150.20
1A_NashvilleToPaducah,36.19940100,-86.77027100,150.50
1A_NashvilleToPaducah,36.19946900,-86.77023500,150.70
1A_NashvilleToPaducah,36.19962000,-86.77015500,151.20
1A_NashvilleToPaducah,36.19988700,-86.77003300,152.10
1A_NashvilleToPaducah,36.19993800,-86.77000900,152.20
1A_NashvilleToPaducah,36.20009200,-86.76993900,152.90
1A_NashvilleToPaducah,36.20015500,-86.76991000,153.10
1A_NashvilleToPaducah,36.20018600,-86.76990000,153.20
1A_NashvilleToPaducah,36.20032900,-86.76985700,153.70
1A_NashvilleToPaducah,36.20080800,-86.76968100,154.90
1A_NashvilleToPaducah,36.20112400,-86.76961800,154.60
1A_NashvilleToPaducah,36.20121800,-86.76959900,154.60
1A_NashvilleToPaducah,36.20176300,-86.76949000,153.80
1A_NashvilleToPaducah,36.20176300,-86.76949000,153.80
1A_NashvilleToPaducah,36.20190300,-86.76946200,153.60
1A_NashvilleToPaducah,36.20219300,-86.76940400,153.70
1A_NashvilleToPaducah,36.20247600,-86.76934900,153.70
1A_NashvilleToPaducah,36.20267700,-86.76931100,153.60
1A_NashvilleToPaducah,36.20316400,-86.76921600,153.60
1A_NashvilleToPaducah,36.20323800,-86.76920200,153.60
1A_NashvilleToPaducah,36.20371400,-86.76910900,154.20
1A_NashvilleToPaducah,36.20396900,-86.76906000,154.50
1A_NashvilleToPaducah,36.20415300,-86.76902400,154.60
1A_NashvilleToPaducah,36.20420800,-86.76901300,154.60
1A_NashvilleToPaducah,36.20471400,-86.76891500,154.90
1A_NashvilleToPaducah,36.20480000,-86.76889800,154.90
1A_NashvilleToPaducah,36.20483600,-86.76889100,154.90
1A_NashvilleToPaducah,36.20522100,-86.76878700,153.70
1A_NashvilleToPaducah,36.20530400,-86.76876500,153.00
1A_NashvilleToPaducah,36.20548400,-86.76871600,151.90
1A_NashvilleToPaducah,36.20578000,-86.76861900,150.20
1A_NashvilleToPaducah,36.20589200,-86.76858200,149.60
1A_NashvilleToPaducah,36.20590500,-86.76878300,149.60
1A_NashvilleToPaducah,36.20591800,-86.76898000,149.40
1A_NashvilleToPaducah,36.20594400,-86.76938200,149.00
1A_NashvilleToPaducah,36.20596400,-86.76969100,149.00
1A_NashvilleToPaducah,36.20608900,-86.77101600,145.80
1A_NashvilleToPaducah,36.20613100,-86.77116300,145.40
1A_NashvilleToPaducah,36.20615600,-86.77146100,144.40
1A_NashvilleToPaducah,36.20619600,-86.77193400,141.90
1A_NashvilleToPaducah,36.20623200,-86.77234000,139.10
1A_NashvilleToPaducah,36.20626300,-86.77269800,136.10
1A_NashvilleToPaducah,36.20631000,-86.77329100,131.20
1A_NashvilleToPaducah,36.20634500,-86.77374100,131.90
1A_NashvilleToPaducah,36.20641100,-86.77458700,135.30
1A_NashvilleToPaducah,36.20642600,-86.77478300,135.80
1A_NashvilleToPaducah,36.20644700,-86.77504100,136.20
1A_NashvilleToPaducah,36.20648800,-86.77558100,137.30
1A_NashvilleToPaducah,36.20651500,-86.77611800,138.80
1A_NashvilleToPaducah,36.20652600,-86.77634000,139.10
1A_NashvilleToPaducah,36.20652800,-86.77637700,139.10
1A_NashvilleToPaducah,36.20653900,-86.77659900,138.60
