Latitude,Longitude,Elevation,Distance,Orientation
37.04698900,-88.46758000,113.00,0.18,85.93
37.04699900,-88.46740400,113.00,0.18,83.96
37.04701900,-88.46716700,111.00,0.18,82.21
37.04705700,-88.46681900,109.00,0.18,81.06
37.04708600,-88.46658800,106.00,0.18,79.31
37.04709700,-88.46651500,106.00,0.18,81.23
37.04710500,-88.46645000,106.00,0.18,76.92
37.04714300,-88.46624500,104.00,0.18,75.72
37.04724700,-88.46573300,109.00,0.18,74.27
37.04728500,-88.46556400,109.00,0.18,76.95
37.04731200,-88.46541800,109.00,0.18,74.56
37.04734000,-88.46529100,109.00,0.18,72.08
37.04737200,-88.46516700,107.00,0.18,69.31
37.04741300,-88.46503100,107.00,0.18,69.61
37.04748300,-88.46479500,107.00,0.18,68.25
37.04754700,-88.46459400,106.00,0.18,67.44
37.04760900,-88.46440700,106.00,0.18,66.19
37.04770900,-88.46412300,108.00,0.18,65.62
37.04782400,-88.46380500,111.00,0.18,65.63
37.04799500,-88.46333200,110.00,0.18,65.82
37.04817200,-88.46283800,110.00,0.18,65.26
37.04835700,-88.46233500,114.00,0.18,65.65
37.04854700,-88.46180900,116.00,0.18,66.04
37.04866900,-88.46146500,116.00,0.18,65.47
37.04873200,-88.46129200,116.00,0.18,65.73
37.04903000,-88.46046400,113.00,0.18,65.28
37.04906600,-88.46036600,113.00,0.18,65.58
37.04926600,-88.45981400,113.00,0.18,65.67
37.04944500,-88.45931800,109.00,0.19,65.45
37.04976000,-88.45845400,113.00,0.19,65.26
37.04981700,-88.45829900,113.00,0.19,65.39
37.05009300,-88.45754400,113.00,0.19,65.74
37.05040200,-88.45668500,113.00,0.19,65.71
37.05052300,-88.45634900,117.00,0.19,65.41
37.05069500,-88.45587800,117.00,0.19,65.43
37.05072200,-88.45580400,117.00,0.19,65.54
37.05119900,-88.45449000,117.00,0.19,65.87
37.05133700,-88.45410400,118.00,0.19,65.44
37.05169000,-88.45313600,122.00,0.19,65.65
37.05183300,-88.45274000,123.00,0.19,65.85
37.05197400,-88.45234600,123.00,0.19,65.38
37.05211700,-88.45195500,123.00,0.19,65.62
37.05223200,-88.45163700,121.00,0.19,65.52
37.05240500,-88.45116100,119.00,0.19,65.47
37.05255800,-88.45074100,124.00,0.19,65.34
37.05270200,-88.45034800,123.00,0.19,65.46
37.05280000,-88.45007900,121.00,0.20,65.60
37.05320400,-88.44896300,123.00,0.20,65.48
37.05347700,-88.44821300,122.00,0.20,65.89
37.05354700,-88.44801700,122.00,0.20,65.43
37.05368600,-88.44763600,125.00,0.20,65.69
37.05382300,-88.44725600,125.00,0.20,66.45
37.05388700,-88.44707200,125.00,0.20,65.59
37.05407500,-88.44655300,129.00,0.20,64.88
37.05413600,-88.44639000,129.00,0.20,65.29
37.05430200,-88.44593800,133.00,0.20,65.73
37.05443300,-88.44557400,133.00,0.20,65.11
37.05457000,-88.44520400,131.00,0.20,64.44
37.05464100,-88.44501800,131.00,0.20,63.25
37.05471500,-88.44483400,132.00,0.20,61.65
37.05486700,-88.44448100,129.00,0.20,57.02
37.05495400,-88.44431300,132.00,0.20,55.63
37.05513300,-88.44398500,132.00,0.20,52.89
37.05522900,-88.44382600,133.00,0.20,51.05
37.05532900,-88.44367100,134.00,0.20,50.03
37.05543200,-88.44351700,134.00,0.20,47.51
37.05553800,-88.44337200,134.00,0.20,46.58
37.05564600,-88.44322900,138.00,0.20,44.31
37.05575800,-88.44309200,138.00,0.20,42.46
37.05587400,-88.44295900,138.00,0.20,40.32
37.05593700,-88.44289200,138.00,0.20,39.67
37.05611600,-88.44270600,135.00,0.20,37.68
37.05624000,-88.44258600,135.00,0.20,35.85
37.05636700,-88.44247100,134.00,0.20,34.24
37.05649600,-88.44236100,133.00,0.20,32.11
37.05675800,-88.44215500,130.00,0.20,31.80
37.05690600,-88.44204000,130.00,0.20,31.08
37.05704500,-88.44193500,130.00,0.20,30.08
37.05710700,-88.44189000,130.00,0.20,30.05
37.05718700,-88.44183200,130.00,0.20,31.28
37.05747200,-88.44161500,131.00,0.20,32.14
37.05761300,-88.44150400,133.00,0.20,33.25
37.05789300,-88.44127400,132.00,0.21,33.77
37.05803500,-88.44115500,132.00,0.21,34.70
37.05846600,-88.44078100,129.00,0.21,35.33
37.05875200,-88.44052700,131.00,0.21,34.63
37.05992700,-88.43951000,132.00,0.21,36.61
37.05998500,-88.43945600,132.00,0.21,34.73
37.06103600,-88.43854300,135.00,0.21,35.01
37.06120800,-88.43839200,134.00,0.21,34.99
37.06188300,-88.43780000,138.00,0.21,34.94
37.06210000,-88.43761000,139.00,0.21,34.63
37.06277600,-88.43702500,137.00,0.21,34.51
37.06318100,-88.43667600,135.00,0.21,36.16
37.06344200,-88.43643700,134.00,0.21,34.70
37.06357800,-88.43631900,134.00,0.21,35.55
37.06371200,-88.43619900,135.00,0.21,37.05
37.06384200,-88.43607600,137.00,0.21,38.37
37.06409600,-88.43582400,140.00,0.21,39.47
37.06434700,-88.43556500,139.00,0.21,40.81
37.06446900,-88.43543300,140.00,0.21,41.68
37.06459000,-88.43529800,140.00,0.21,42.44
37.06467900,-88.43519600,140.00,0.21,42.82
37.06471000,-88.43516000,140.00,0.21,43.88
37.06482700,-88.43501900,139.00,0.21,44.78
37.06494200,-88.43487600,140.00,0.21,45.51
37.06505800,-88.43472800,141.00,0.21,46.40
37.06517200,-88.43457800,145.00,0.21,47.33
37.06526100,-88.43445700,145.00,0.22,48.29
37.06539400,-88.43427000,148.00,0.22,49.59
37.06550200,-88.43411100,147.00,0.22,50.21
37.06560900,-88.43395000,145.00,0.22,51.09
37.06571400,-88.43378700,143.00,0.22,51.96
37.06581700,-88.43362200,143.00,0.22,52.73
37.06591900,-88.43345400,142.00,0.22,53.55
37.06601800,-88.43328600,142.00,0.22,54.20
37.06611700,-88.43311400,144.00,0.22,55.18
37.06621300,-88.43294100,142.00,0.22,56.21
37.06640200,-88.43258700,142.00,0.22,57.19
37.06677700,-88.43185800,136.00,0.22,57.46
37.06725600,-88.43091700,126.00,0.22,56.63
37.06755500,-88.43034800,126.00,0.22,55.64
37.06765700,-88.43016100,126.00,0.22,56.42
37.06785300,-88.42979100,128.00,0.22,54.59
37.06791200,-88.42968700,128.00,0.22,54.50
37.06794900,-88.42962200,128.00,0.22,52.99
37.06829000,-88.42905500,128.00,0.22,52.48
37.06842600,-88.42883300,129.00,0.22,51.13
37.06878100,-88.42828100,132.00,0.22,49.90
37.06904300,-88.42789100,135.00,0.22,48.97
37.06931100,-88.42750500,133.00,0.22,48.47
37.06940500,-88.42737200,132.00,0.22,47.42
37.06960000,-88.42710600,129.00,0.22,46.52
37.06980200,-88.42683900,129.00,0.22,45.61
37.07033000,-88.42616300,134.00,0.23,45.21
37.07121700,-88.42504300,134.00,0.23,44.81
37.07178400,-88.42433700,139.00,0.23,44.39
37.07201300,-88.42405600,138.00,0.23,43.47
37.07213000,-88.42391700,138.00,0.23,44.25
37.07247400,-88.42349700,140.00,0.23,43.23
37.07294000,-88.42294800,144.00,0.23,42.99
37.07332600,-88.42249700,144.00,0.23,42.42
37.07361500,-88.42216600,143.00,0.23,41.77
37.07384100,-88.42191300,143.00,0.23,42.13
37.07407300,-88.42165000,140.00,0.23,41.38
37.07466900,-88.42099200,138.00,0.23,40.83
37.07491000,-88.42073100,142.00,0.23,40.46
37.07515700,-88.42046700,145.00,0.23,39.90
37.07592600,-88.41966100,135.00,0.23,39.21
37.07605800,-88.41952600,135.00,0.23,38.58
37.07632600,-88.41925800,134.00,0.23,38.79
37.07698600,-88.41859300,128.00,0.23,38.15
37.07711700,-88.41846400,128.00,0.24,38.80
37.07724500,-88.41833500,123.00,0.24,38.15
37.07737500,-88.41820700,126.00,0.24,37.07
37.07750700,-88.41808200,121.00,0.24,37.51
37.07790300,-88.41770100,115.00,0.24,36.79
37.07834900,-88.41728300,120.00,0.24,36.50
37.07895600,-88.41672000,124.00,0.24,35.98
37.07921200,-88.41648700,124.00,0.24,35.37
37.07949300,-88.41623700,124.00,0.24,35.06
37.07989200,-88.41588600,123.00,0.24,35.50
37.08002400,-88.41576800,121.00,0.24,34.61
37.08011300,-88.41569100,121.00,0.24,34.62
37.08044000,-88.41540800,121.00,0.24,34.21
37.08073100,-88.41516000,121.00,0.24,33.87
37.08102700,-88.41491100,119.00,0.24,33.47
37.08131900,-88.41466900,116.00,0.24,32.94
37.08189900,-88.41419800,110.00,0.24,32.53
37.08233300,-88.41385100,108.00,0.24,32.29
37.08276100,-88.41351200,107.00,0.24,31.84
37.08319400,-88.41317500,111.00,0.24,31.18
37.08333900,-88.41306500,111.00,0.24,31.67
37.08418600,-88.41241000,112.00,0.24,31.94
37.08474900,-88.41197000,113.00,0.25,31.60
37.08503300,-88.41175100,112.00,0.25,32.31
37.08517300,-88.41164000,112.00,0.25,31.25
37.08531500,-88.41153200,112.00,0.25,32.26
37.08540600,-88.41146000,112.00,0.25,124.56
37.08535600,-88.41136900,113.00,0.25,125.10
37.08523600,-88.41115500,113.00,0.25,126.62
37.08513700,-88.41098800,117.00,0.25,126.74
37.08500600,-88.41076800,121.00,0.25,127.52
37.08485900,-88.41052800,121.00,0.25,126.18
37.08479600,-88.41042000,121.00,0.25,127.94
37.08472200,-88.41030100,120.00,0.25,128.08
37.08467700,-88.41022900,121.00,0.25,126.30
37.08460200,-88.41010100,121.00,0.25,127.16
