latitude,longitude
40.43764000,-98.11645600
40.43753200,-98.17628400
40.43740200,-98.23503300
40.43727400,-98.29569100
40.43728700,-98.35387800
40.44084900,-98.40177900
40.48594700,-98.40198800
40.52991500,-98.40206700
40.56798600,-98.41192800
40.56809400,-98.47058700
40.56789800,-98.52910800
40.56785400,-98.59003300
40.56767800,-98.64812500
40.56770600,-98.70834600
40.56771800,-98.76738700
40.55443400,-98.82277600
40.53325200,-98.87302500
40.51046700,-98.92548500
40.52700500,-98.95191200
40.57023000,-98.95186800
40.61649100,-98.95151300
40.64099700,-98.97419200
40.64098500,-99.03781500
40.64952200,-99.08485900
40.68499300,-99.07244900
40.67267000,-99.02915200
40.67285900,-99.08234300
40.68595200,-99.12366300
40.69945700,-99.16376300
40.69965400,-99.22728400
40.70549200,-99.28083400
40.71322100,-99.34102800
40.72078400,-99.40004300
40.72848300,-99.46029600
40.73630100,-99.52161800
40.74308000,-99.57500200
40.75180100,-99.63006900
40.76516600,-99.69066000
40.77790400,-99.74704700
40.79043400,-99.80603800
40.80924200,-99.85790400
40.82867800,-99.90973400
40.84949300,-99.96547200
40.86795100,-100.01497000
40.88834400,-100.07071100
40.90997000,-100.12435900
40.93156600,-100.17410900
40.95466400,-100.22777200
40.97588100,-100.27631500
41.00024200,-100.32720900
41.02657400,-100.37363700
41.04832400,-100.42534800
41.06600400,-100.48173400
41.08248100,-100.53490500
41.09794200,-100.59086400
41.11419300,-100.64408200
41.13493000,-100.69766100
41.14448500,-100.74745000
41.15188900,-100.80676400
41.16241100,-100.86050400
41.16247900,-100.92062200
41.16276600,-100.97940200
41.16344100,-101.04075700
41.15989500,-101.09833000
41.15438000,-101.15791300
41.14644700,-101.21609600
41.13117800,-101.27171600
41.12407500,-101.33064100
41.12069300,-101.38865900
41.12693200,-101.44840900
41.12422400,-101.50822100
41.12934400,-101.56608100
41.12987300,-101.62652500
41.13051100,-101.68520500
41.12112000,-101.74279700
41.15360000,-101.74959700
41.16803100,-101.79378900
41.19131500,-101.84140100
41.19212800,-101.89994100
41.20477300,-101.95221800
41.22294300,-102.00529900
41.23598000,-102.05826400
41.25396400,-102.10523700
41.29644300,-102.12364500
41.33352000,-102.14720500
41.35345900,-102.19917500
41.37453500,-102.25445600
41.39438200,-102.31030900
41.40944900,-102.36137900
41.43121800,-102.41803800
41.44797900,-102.46797500
41.46621100,-102.52227600
41.48438700,-102.57650300
41.50457300,-102.62990700
41.52650000,-102.67848900
41.55498000,-102.72799300
41.57303600,-102.78258700
41.59049300,-102.83833300
41.60587600,-102.88760800
41.62465500,-102.94786100
41.64270100,-103.00428500
41.66517900,-103.05533800
41.67254700,-103.09922100
41.67042900,-103.16199700
41.67440000,-103.21607300
41.69748400,-103.27260800
41.71548300,-103.32146200
41.73087400,-103.37896400
41.75000000,-103.43620300
41.77230900,-103.48507500
41.79156000,-103.53978500
41.80952500,-103.59489700
41.82169100,-103.65110900
41.82815200,-103.70718300
41.86335100,-103.73583500
41.87747600,-103.69468600
41.90016800,-103.71938800
41.92755500,-103.76635500
41.94306800,-103.82004500
41.96403000,-103.87456300
41.96329300,-103.93462500
41.96831100,-103.99513400
41.99630200,-104.03951400
42.02134300,-104.08864500
42.04409900,-104.14155400
42.06673700,-104.19371100
42.08908000,-104.24652000
42.11169800,-104.29779900
42.13689500,-104.34631300
42.15808700,-104.39688600
42.18314100,-104.44952100
42.20589900,-104.50074700
42.23260400,-104.54889800
42.24926500,-104.60327300
42.25576800,-104.66460700
42.26495200,-104.71950000
42.26538000,-104.77775400
42.25547200,-104.83160600
42.23577900,-104.88562300
42.23460600,-104.94604000
42.23427000,-105.00640700
42.26339600,-105.03815200
42.30113000,-105.04593400
42.34548900,-105.04364600
42.36314900,-104.99060000
42.40024900,-104.98501800
42.44508700,-105.00052700
42.48104700,-105.02957100
42.52512600,-105.02530800
42.56377300,-105.05064600
42.59530200,-105.08080600
42.62445600,-105.12642700
42.65921100,-105.16837000
42.66865100,-105.21228200
42.69895200,-105.25752600
42.72028700,-105.30839900
42.74273400,-105.36077000
42.76000700,-105.40654800
42.78874000,-105.43588500
42.82302300,-105.46929400
42.85943400,-105.49720400
42.89274000,-105.54073000
42.92428300,-105.57803700
42.95293500,-105.61566200
42.93938100,-105.67214400
42.92488000,-105.71458100
42.92281900,-105.77362100
42.91070400,-105.82855900
42.87197500,-105.86515000
42.86116900,-105.91967800
42.84778400,-105.97574800
42.85849100,-106.03237900
42.85475400,-106.09155100
42.85441000,-106.15137700
42.84899400,-106.20907000
42.85757900,-106.26846800
42.85009400,-106.32858800
